320,49,350,49,350,64,320,64
552,49,575,49,575,64,552,64
579,50,654,52,653,67,578,65
653,50,699,50,699,62,653,62
785,50,902,50,902,62,785,62
904,50,955,50,955,64,904,64
88,52,137,52,137,64,88,64
350,52,443,52,443,66,350,66
0,82,15,82,15,99,0,99
28,84,118,84,118,99,28,99
44,115,105,115,105,132,44,132
142,115,181,115,181,132,142,132
218,115,269,115,269,132,218,132
306,116,353,116,353,130,306,130
389,115,428,115,428,130,389,130
428,115,481,115,481,130,428,130
535,115,586,115,586,130,535,130
596,115,641,115,641,130,596,130
657,115,670,115,670,130,657,130
682,116,741,116,741,130,682,130
750,116,789,116,789,130,750,130
843,116,880,116,880,130,843,130
890,116,931,116,931,128,890,128
968,116,1001,116,1001,130,968,130
597,164,643,164,643,181,597,181
641,164,763,164,763,181,641,181
767,164,901,164,901,184,767,184
38,236,162,242,158,314,34,308
174,242,316,242,316,294,174,294
342,245,367,245,367,293,342,293
667,413,740,413,740,453,667,453
777,413,850,413,850,453,777,453
743,421,772,421,772,452,743,452
863,638,907,638,907,648,863,648
909,638,923,638,923,650,909,650
924,640,956,640,956,648,924,648
955,640,970,640,970,648,955,648
557,707,606,707,606,726,557,726
609,707,647,707,647,726,609,726
557,732,723,735,723,754,556,750
730,733,762,733,762,750,730,750
765,733,814,733,814,752,765,752
559,755,630,760,628,790,556,784
628,757,663,757,663,790,628,790
667,758,701,758,701,775,667,775
557,774,599,774,599,790,557,790
599,775,616,775,616,789,599,789
552,857,724,857,724,875,552,875
730,857,813,857,813,875,730,875
553,872,616,872,616,892,553,892
